dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,49,5.49331,0.001969,1.54629,0.333344,7.44643,7.37492
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,50,5.51517,0.0022,1.54105,0.332864,7.45925,7.39129
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,51,5.49014,0.00201,1.54782,0.332576,7.44393,7.37255
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,52,5.53638,0.002082,1.53991,0.332288,7.47417,7.41067
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,53,5.47677,0.00243,1.5484,0.337024,7.43114,7.36462
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,54,5.33971,0.002061,1.53715,0.332544,7.28136,7.21147
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,55,5.42458,0.00242,1.5404,0.332128,7.37073,7.29953
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,56,5.55008,0.002089,1.5322,0.33088,7.48138,7.41525
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,57,5.5616,0.00214,1.54087,0.333152,7.50704,7.43776
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,58,5.4047,0.002181,1.53829,0.329888,7.34463,7.27507
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,59,5.50941,0.00209,1.55025,0.332896,7.466,7.39465
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,60,5.50237,0.00227,1.54541,0.331872,7.45033,7.38192
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,61,5.6121,0.00177,1.54444,0.330048,7.55877,7.48836
