dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,24,0.05072,0.00144,0.144069,0.048064,0.291486,0.244293
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,25,0.068384,0.00186,0.159898,0.053248,0.338936,0.28339
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,26,0.050688,0.00198,0.156127,0.047296,0.312006,0.256091
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,27,0.051936,0.0017,0.153328,0.049344,0.310517,0.256308
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,28,0.050176,0.001631,0.152359,0.04768,0.307357,0.251846
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,29,0.065504,0.00202,0.158449,0.052352,0.331896,0.278325
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,30,0.061472,0.0019,0.157676,0.050976,0.326456,0.272024
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,31,0.049888,0.00156,0.153268,0.050656,0.309876,0.255372
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,32,0.052,0.00154,0.152588,0.047456,0.307357,0.253584
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,33,0.049024,0.00165,0.151557,0.048352,0.304227,0.250583
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,34,0.04976,0.00142,0.151688,0.048512,0.303686,0.25138
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,35,0.060256,0.001971,0.158639,0.052608,0.327006,0.273474
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,36,0.051648,0.001651,0.154848,0.05072,0.312747,0.258867
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,37,0.050688,0.00174,0.152459,0.047552,0.307197,0.252439
